Site,Site,Latitude,Longitude,Year,count
D1044,D1044,25.4909,-80.14725,2007,89
D1045,D1045,25.5089,-80.1314,2007,139
D1046,D1046,25.5286,-80.1355,2007,139
D1047,D1047,25.375410000000002,-80.15290999999999,2007,42
D1048,D1048,25.4693,-80.13338,2007,78
D1049,D1049,25.373910000000002,-80.13933,2007,18
D1050,D1050,25.40271,-80.1314,2007,13
D1051,D1051,25.35051,-80.15518,2007,31
D1052,D1052,25.56289,-80.11555,2007,82
D1053,D1053,25.34706,-80.15926,2007,54
D1055,D1055,25.4279,-80.12347,2007,40
D1056,D1056,25.4747,-80.11158,2007,253
D1057,D1057,25.30731,-80.16311,2007,62
D1058,D1058,25.57549,-80.09374,2007,70
D1059,D1059,25.29831,-80.15915,2007,45
D1060,D1060,25.586289999999998,-80.08978,2007,47
D1064,D1064,25.00461,-80.4526,2007,81
D1065,D1065,25.08413,-80.37319000000001,2007,43
D1066,D1066,25.20832,-80.27608000000001,2007,56
D1070,D1070,25.29652,-80.22455,2007,18
D1072,D1072,25.046110000000002,-80.36768000000001,2007,17
D1080,D1080,25.03014,-80.35932,2007,24
D1082,D1082,25.09668,-80.29586,2007,68
D1085,D1085,25.139960000000002,-80.25641,2007,137
D1087,D1087,24.69518,-81.03965,2007,68
D1088,D1088,24.69398,-81.01576999999999,2007,196
D1089,D1089,24.71876,-80.9301,2007,127
D1090,D1090,24.9777,-80.53761999999999,2007,1
D1091,D1091,24.97936,-80.53366,2007,4
D1093,D1093,24.95743,-80.49207,2007,133
D1094,D1094,24.62697,-81.11045,2007,2
D1095,D1095,24.84678,-80.62189000000001,2007,41
D1097,D1097,24.94732,-80.47187,2007,171
D1101,D1101,24.61074,-81.17000999999999,2007,14
D1102,D1102,24.62144,-81.12451,2007,49
D1103,D1103,24.85915,-80.58714,2007,29
D1104,D1104,24.803179999999998,-80.6785,2007,45
D1106,D1106,24.55315,-81.68693,2007,54
D1107,D1107,24.621570000000002,-81.36216,2007,46
D1113,D1113,24.54983,-81.57342,2007,202
D1114,D1114,24.54872,-81.53283,2007,57
D1115,D1115,24.552529999999997,-81.57963000000001,2007,184
D1117,D1117,24.56315,-81.47705,2007,136
D1118,D1118,24.57498,-81.4496,2007,128
D1120,D1120,24.49333,-81.71443000000001,2007,22
D1123,D1123,24.56165,-81.40777,2007,48
D1124,D1124,24.491979999999998,-81.65943,2007,47
D1125,D1125,24.511779999999998,-81.56232,2007,36
D1127,D1127,24.524060000000002,-81.5773,2007,28
D1129,D1129,24.48498,-81.75413,2007,40
D1132,D1132,24.51898,-81.52467,2007,54
D1133,D1133,24.52723,-81.49892,2007,43
D1134,D1134,24.47758,-81.72088000000001,2007,109
D2001,D2001,26.726029999999998,-80.03237,2007,3
D2004,D2004,26.705270000000002,-80.0276,2007,5
D2005,D2005,26.4418,-80.04768,2007,34
D2006,D2006,26.72417,-80.01807,2007,43
D2008,D2008,26.449170000000002,-80.04658,2007,22
D2015,D2015,25.962120000000002,-80.108,2007,30
D2035,D2035,25.93459,-80.08681999999999,2007,13
D2037,D2037,25.4351,-80.19284,2007,41
D2039,D2039,25.37211,-80.18095,2007,76
D2042,D2042,25.40991,-80.16708,2007,110
D2054,D2054,25.359479999999998,-80.15241999999999,2007,91
D2071,D2071,24.9899,-80.43817,2007,90
D2080,D2080,25.0028,-80.40173,2007,63
D2094,D2094,24.624979999999997,-81.11367,2007,32
D2096,D2096,24.6626,-81.0117,2007,21
D2097,D2097,24.93458,-80.50945,2007,29
D2098,D2098,24.655089999999998,-81.0155,2007,47
D2099,D2099,24.70796,-80.89839,2007,150
D2101,D2101,24.63595,-81.0773,2007,44
D2102,D2102,24.66338,-80.98555999999999,2007,37
D2117,D2117,24.56907,-81.4571,2007,167
D2129,D2129,24.56675,-81.33051999999999,2007,71
D4001,D4001,24.62998,-82.9362,2007,14
D4002,D4002,24.6348,-82.9228,2007,52
D4004,D4004,24.65052,-82.91498,2007,48
D4005,D4005,24.65247,-82.91412,2007,35
D4006,D4006,24.6546,-82.9131,2007,48
D4007,D4007,24.6422,-82.89678,2007,57
D4008,D4008,24.64197,-82.89686999999999,2007,76
D4011,D4011,24.620620000000002,-82.86737,2007,15
D4012,D4012,24.6206,-82.86731999999999,2007,35
D4013,D4013,24.63113,-82.86176999999999,2007,18
D4014,D4014,24.631079999999997,-82.86176999999999,2007,13
D4016,D4016,24.62027,-82.8691,2007,37
D4017,D4017,24.69408,-82.77155,2007,24
D4018,D4018,24.45235,-81.87652,2007,57
D4019,D4019,24.45198,-81.8775,2007,54
D4021,D4021,24.45145,-81.87998,2007,65
D4026,D4026,24.45958,-81.84591999999999,2007,30
D4027,D4027,24.46133,-81.84387,2007,30
D4028,D4028,24.46213,-81.83896999999999,2007,36
D4030,D4030,24.4796,-81.71435,2007,45
